aX,aY,aZ,gX,gY,gZ
1.006,0.030,0.028,-2.258,-22.400,8.911
1.029,0.047,0.053,3.479,-20.996,4.639
1.049,0.037,0.096,9.827,-19.348,0.244
,,,,,
0.654,0.919,2.026,11.169,-183.594,179.199
0.744,1.211,2.245,-44.678,-149.963,184.998
0.781,1.646,2.394,-104.004,-105.896,186.707
0.886,1.955,2.434,-146.057,-54.871,173.340
0.931,2.422,2.323,-158.813,-8.423,148.560
1.139,2.894,2.242,-159.729,37.781,108.215
1.257,2.902,2.228,-152.527,76.477,56.885
1.254,2.820,1.904,-134.460,101.135,-1.160
1.134,2.539,1.735,-97.168,114.319,-61.096
0.986,2.132,1.703,-61.523,124.329,-117.310
0.851,1.668,1.603,-49.438,134.338,-162.598
0.723,1.218,1.542,-48.706,142.395,-195.862
0.593,0.829,1.447,-60.303,153.137,-218.140
0.434,0.485,1.319,-78.125,166.443,-232.910
0.278,0.216,1.167,-99.731,181.641,-239.075
0.102,-0.084,0.971,-125.732,198.425,-239.258
-0.013,-0.476,0.696,-155.273,215.881,-235.168
-0.071,-0.811,0.486,-176.880,232.117,-224.731
-0.142,-1.085,0.206,-192.688,245.605,-205.261
-0.131,-1.360,-0.127,-217.407,256.226,-178.284
-0.357,-1.452,-0.521,-220.581,260.803,-147.705
-0.354,-1.444,-0.914,-199.036,256.042,-124.329
-0.321,-1.607,-1.623,-153.809,246.765,-126.831
-0.161,-1.963,-2.024,-90.881,222.778,-127.502
-0.005,-2.396,-2.200,-40.100,181.519,-113.098
-0.105,-2.628,-2.127,2.380,127.075,-86.548
-0.098,-2.781,-2.378,37.354,80.627,-58.777
-0.106,-2.621,-2.585,55.115,29.480,-24.780
-0.050,-2.405,-2.531,73.547,-29.968,9.277
0.001,-2.273,-2.150,101.807,-90.332,35.950
0.019,-2.000,-1.819,114.441,-140.137,64.819
-0.028,-1.686,-1.659,125.122,-175.720,91.187
-0.059,-1.330,-1.311,145.447,-211.731,109.741
-0.078,-1.031,-0.893,178.162,-245.728,116.943
-0.063,-0.797,-0.425,204.834,-270.081,118.958
-0.019,-0.677,-0.051,221.863,-286.438,120.911
0.090,-0.485,0.351,231.140,-301.270,126.343
0.242,-0.194,1.011,232.666,-326.050,131.348
0.428,-0.126,1.829,232.910,-350.159,133.057
0.558,0.098,2.911,206.970,-350.708,143.188
0.728,0.445,3.168,120.728,-312.195,163.391
0.557,0.894,3.268,-7.812,-261.292,194.824
0.587,1.502,3.459,-75.500,-200.745,210.266
0.996,2.295,3.504,-128.784,-120.728,208.252
0.945,2.927,3.219,-174.316,-32.776,206.970
