aX,aY,aZ,gX,gY,gZ
-2.622,-2.964,1.336,35.828,-32.227,-39.001
-2.082,-2.552,1.472,-26.978,-9.521,12.085
-1.844,-2.204,1.374,-109.192,10.986,39.612
-1.570,-1.585,0.774,-144.287,26.978,48.706
-1.224,-0.877,0.818,-122.803,17.090,52.002
-0.754,-0.828,0.856,-83.618,7.874,42.053
-0.290,-0.591,0.414,-59.998,15.747,42.236
-0.014,-0.242,0.459,-19.409,14.954,39.734
0.039,-0.338,0.605,26.062,13.245,30.029
0.226,-0.330,0.578,35.156,17.090,28.687
0.484,-0.357,0.582,21.606,16.418,28.564
0.585,-0.384,0.629,6.470,10.925,25.024
0.611,-0.325,0.670,-11.230,4.822,20.874
0.636,-0.341,0.686,-30.823,-0.549,17.273
0.290,-0.391,0.716,-34.119,-7.324,12.939
0.676,-0.438,0.866,-29.053,-15.930,9.460
0.478,-0.564,0.925,-14.587,-23.254,5.493
0.467,-0.675,0.840,-12.268,-18.677,2.686
0.375,-0.726,0.899,-9.460,-18.982,0.732
0.319,-0.734,0.951,-9.949,-16.418,0.366
0.301,-0.784,0.949,-9.277,-10.315,1.404
0.277,-0.831,0.978,-4.639,-5.005,3.723
0.266,-0.849,0.983,-0.793,0.916,6.836
0.281,-0.835,0.950,-1.160,6.226,9.766
0.277,-0.799,0.932,-2.258,8.240,11.475
0.298,-0.746,0.885,-1.099,8.484,12.878
0.273,-0.739,0.870,4.944,6.592,13.916
0.355,-0.711,0.707,8.301,4.028,14.404
0.341,-0.710,0.833,8.057,-0.488,14.343
0.272,-0.742,0.716,13.245,3.540,12.878
0.315,-0.776,0.708,-0.366,6.531,14.099
0.330,-0.764,0.818,-6.531,4.578,15.564
0.351,-0.688,0.859,-16.724,7.629,17.517
0.390,-0.680,0.985,-21.973,11.353,19.287
0.442,-0.664,1.167,-16.052,21.240,21.301
0.422,-0.655,0.798,-24.231,38.086,23.560
0.451,-0.635,0.918,-20.264,39.185,25.452
0.434,-0.603,0.945,-7.019,37.659,25.085
0.416,-0.563,0.788,-12.939,40.466,25.391
0.445,-0.474,0.748,-5.493,39.246,24.414
0.497,-0.433,0.693,1.465,36.987,22.095
0.559,-0.571,0.674,9.338,34.119,17.639
0.591,-0.670,0.709,18.799,32.837,16.052
0.608,-0.548,0.694,21.912,31.799,16.479
0.594,-0.559,0.698,22.156,25.146,13.062
0.630,-0.525,0.720,20.569,16.724,9.399
0.562,-0.622,0.741,18.860,8.667,5.554
0.518,-0.582,0.703,17.151,2.563,4.395
0.528,-0.535,0.692,12.817,0.244,5.249
0.523,-0.555,0.694,15.991,-3.845,3.479
0.468,-0.573,0.652,14.954,-6.958,1.709
0.454,-0.572,0.603,9.583,-7.690,1.160
0.470,-0.563,0.630,2.686,-4.944,1.892
0.491,-0.597,0.683,1.038,-2.747,2.075
0.518,-0.587,0.688,-0.061,-1.099,3.052
0.513,-0.568,0.695,-2.258,0.671,4.028
0.516,-0.573,0.706,-2.197,0.122,3.662
0.506,-0.567,0.685,-6.104,-2.075,2.869
