aX,aY,aZ,gX,gY,gZ
1.747,3.926,1.311,-210.693,-67.993,-172.913
1.384,3.856,1.085,-260.681,-54.688,-234.741
0.812,3.547,0.878,-281.372,-46.753,-301.331
0.227,3.093,0.610,-252.014,-40.771,-362.366
-0.451,2.587,0.837,-236.145,-56.396,-405.823
-1.274,1.966,1.269,-156.372,-80.139,-446.960
-2.190,0.995,1.642,-12.085,-86.792,-494.507
-2.816,-0.046,1.457,-10.254,-67.749,-534.851
-3.727,-0.407,1.058,-420.166,-4.700,-529.175
-4.000,-2.126,2.506,-660.522,31.555,-533.447
-4.000,-4.000,2.696,-146.790,-77.087,-553.894
-4.000,-4.000,2.814,5.310,-179.016,-500.366
-4.000,-4.000,3.003,53.650,-192.139,-458.618
-2.716,-4.000,3.135,117.065,-120.483,-374.268
-0.898,-4.000,2.449,181.335,15.198,-197.327
-0.820,-4.000,1.273,223.328,128.479,11.414
-1.550,-4.000,0.946,154.846,135.742,183.228
-1.854,-2.508,0.582,60.669,100.586,277.527
-1.908,-2.099,0.650,71.899,76.965,290.771
-1.777,-2.297,0.674,36.133,44.006,296.387
-1.688,-1.551,0.812,-25.024,10.437,328.613
-1.631,-0.519,0.709,-54.626,10.925,350.098
-1.507,0.216,0.325,-64.331,28.442,339.111
-1.361,0.398,0.118,-36.011,33.020,307.556
-1.142,0.142,0.235,-0.427,19.470,280.212
-0.931,-0.119,0.618,12.085,6.531,270.630
-0.727,-0.072,1.060,31.372,0.244,272.766
-0.448,0.197,1.228,51.636,16.418,269.165
-0.102,0.165,1.048,73.853,49.194,256.775
0.234,0.084,0.624,136.230,66.528,244.568
0.458,-0.224,0.302,162.109,65.063,239.929
0.623,0.665,-0.051,140.381,43.823,243.225
0.797,1.407,-0.068,8.423,20.874,238.159
0.763,0.822,-0.023,-49.377,5.920,197.876
0.642,-0.091,0.260,6.714,-30.029,165.344
0.442,-0.330,0.865,31.067,-68.542,167.542
0.489,0.276,1.669,-20.203,-73.120,184.753
0.773,1.106,2.100,-53.223,-28.076,189.026
1.020,1.374,1.800,-27.100,43.274,163.147
1.001,1.168,1.141,14.221,102.539,129.639
0.865,0.906,0.535,72.449,127.319,106.934
0.816,0.706,0.145,123.596,121.704,93.628
0.859,0.662,-0.048,133.728,102.356,91.064
0.875,0.694,-0.029,130.310,78.491,88.806
0.854,0.704,0.132,131.165,53.589,82.764
0.862,0.679,0.437,112.610,34.912,78.369
0.856,0.665,0.832,88.989,25.696,75.623
0.901,0.818,1.104,91.248,33.020,73.242
0.935,0.973,1.168,111.389,59.998,67.810
1.069,1.069,0.919,145.325,94.971,58.716
1.231,1.150,0.361,178.833,125.671,44.983
1.247,0.732,-0.090,163.330,141.479,15.625
0.942,0.482,-0.332,156.921,107.788,-18.921
0.747,0.313,-0.430,141.541,56.763,-38.269
0.903,0.271,0.032,6.958,5.249,-19.348
1.082,0.269,0.445,-18.555,-24.658,-7.874
1.113,0.254,0.805,0.916,-25.757,-7.629
1.000,0.170,0.935,-19.714,-6.775,-6.287
0.958,0.079,0.745,4.028,9.155,-9.949
1.006,0.073,0.500,-1.831,20.752,-9.888
0.923,0.252,0.282,-13.489,25.391,-6.531
0.903,0.133,0.176,4.883,18.311,-14.465
0.792,0.039,0.308,-4.272,-1.160,-13.123
0.929,-0.067,0.389,-19.043,-12.939,-12.146
1.018,-0.068,0.576,4.517,-5.981,-19.470
1.039,-0.057,0.572,-25.330,1.038,-9.888
1.017,-0.160,0.624,-10.315,1.038,-7.874
0.984,-0.187,0.509,-1.099,2.136,-9.277
0.948,-0.166,0.462,6.958,3.540,-8.606
0.923,-0.176,0.371,-6.409,6.592,-5.737
0.924,-0.124,0.362,-16.113,6.775,-1.892
0.905,-0.087,0.364,-18.738,2.869,0.488
0.857,-0.153,0.446,-15.320,-2.991,-0.244
0.822,-0.194,0.498,-14.526,-4.883,0.000
0.832,-0.155,0.538,-14.221,-2.869,2.502
0.853,-0.110,0.516,-10.315,2.441,3.357
0.852,-0.115,0.479,-3.296,6.287,2.380
0.849,-0.134,0.438,6.592,7.812,0.854
0.853,-0.171,0.421,14.954,6.592,-0.061
0.870,-0.213,0.401,17.273,6.470,-0.671
0.889,-0.205,0.374,15.015,7.263,-1.282
0.892,-0.215,0.377,13.123,3.418,-2.563
0.863,-0.352,0.423,12.817,-3.784,-5.127
0.841,-0.485,0.488,7.568,-8.545,-4.578
0.832,-0.434,0.531,-7.507,-8.606,2.563
0.857,-0.212,0.517,-24.963,-4.578,10.742
0.867,-0.063,0.465,-32.959,0.427,12.329
0.833,-0.081,0.418,-28.198,1.343,8.545
0.799,-0.117,0.405,-22.217,-0.671,5.737
0.807,-0.081,0.423,-23.682,-2.197,6.104
0.839,-0.006,0.457,-26.123,-2.258,6.531
0.856,-0.022,0.490,-20.935,-2.014,3.784
0.847,-0.133,0.522,-9.094,-2.258,-0.488
0.832,-0.212,0.531,-0.854,-1.343,-2.014
0.844,-0.227,0.503,0.366,2.197,-0.549
0.854,-0.228,0.450,-1.038,5.798,0.854
0.854,-0.200,0.403,-0.854,5.005,1.953
0.849,-0.167,0.380,-0.854,1.343,2.563
0.845,-0.148,0.375,-1.099,-1.587,2.014
0.853,-0.091,0.377,-0.549,-4.150,1.770
0.860,-0.050,0.406,3.906,-7.568,1.038
0.849,-0.096,0.455,13.367,-10.071,-1.587
0.828,-0.173,0.502,21.667,-9.888,-3.601
0.818,-0.230,0.547,25.635,-7.507,-4.028
0.827,-0.306,0.588,28.259,-4.761,-3.357
0.845,-0.386,0.620,29.297,-1.160,-1.648
0.865,-0.367,0.609,26.550,2.991,2.502
0.866,-0.236,0.548,23.193,6.348,6.409
0.860,-0.143,0.461,23.926,7.751,6.409
0.850,-0.142,0.383,29.114,6.104,3.967
0.838,-0.145,0.348,31.128,1.953,2.747
,,,,,
1.292,1.724,0.388,19.592,-18.433,-29.785
1.356,2.311,0.343,18.127,-22.766,-42.603
1.445,2.903,0.319,10.986,-29.846,-61.646
1.557,3.302,0.353,-4.883,-38.818,-87.891
1.627,3.375,0.429,-30.518,-47.852,-119.385
1.662,3.345,0.489,-85.632,-49.866,-150.818
1.635,3.456,0.540,-155.701,-50.842,-182.495
1.674,3.695,0.509,-213.623,-57.861,-218.140
1.561,3.995,0.472,-264.160,-68.970,-257.935
1.082,4.000,0.550,-293.579,-84.961,-309.448
0.271,3.554,0.664,-275.269,-98.145,-375.366
-0.455,2.357,0.937,-219.788,-107.483,-438.660
-1.208,1.151,1.415,-155.029,-118.591,-474.243
-1.960,0.309,1.899,-116.882,-112.061,-488.159
-2.531,-0.176,2.262,-123.779,-79.224,-499.878
-2.964,-0.429,2.306,-142.639,-40.649,-518.738
-3.689,0.693,1.754,-147.827,-32.410,-540.833
-4.000,-1.067,-0.141,-251.343,-0.061,-606.079
-4.000,-4.000,1.757,-393.799,-19.592,-627.380
-4.000,-4.000,2.128,195.801,-195.923,-587.219
-3.903,-4.000,4.000,443.726,-310.303,-436.707
-0.968,-4.000,4.000,287.354,-138.489,-171.021
-0.542,-4.000,2.693,186.462,133.606,68.604
-1.657,-4.000,0.473,114.624,265.076,207.703
-2.279,-3.586,-0.633,69.275,251.221,265.808
-2.137,-2.802,-0.980,36.987,155.701,303.345
-1.818,-1.906,-0.409,47.607,24.536,330.383
-1.786,-0.706,0.597,-29.114,-71.106,348.877
-1.578,-0.165,1.206,-51.636,-72.998,333.557
-1.379,-0.284,1.178,-28.198,-23.437,306.702
-1.360,-0.610,0.968,21.606,22.644,293.884
-1.268,-0.846,0.516,79.163,39.978,298.218
-0.971,-0.712,0.434,79.285,29.541,321.106
-0.488,-0.243,0.248,45.044,22.827,340.881
-0.221,1.046,0.296,-27.283,13.306,344.788
-0.153,1.417,0.459,-92.102,6.897,312.927
0.151,0.644,0.502,-54.688,-2.808,253.784
0.486,-0.117,0.586,-11.169,-8.850,221.252
0.568,-0.073,0.582,-10.864,-4.272,222.839
0.562,0.346,0.625,-19.348,3.479,228.210
0.763,0.499,0.618,5.615,3.418,216.797
0.829,0.368,0.549,37.903,3.845,202.515
0.747,0.186,0.559,32.593,9.338,193.481
0.699,0.256,0.602,37.720,1.526,189.819
0.620,0.479,0.731,35.461,-1.587,186.584
0.631,0.710,0.832,27.771,4.578,178.223
0.637,0.815,0.835,50.415,14.587,163.757
0.655,0.764,0.800,79.346,27.649,148.499
0.727,0.648,0.674,115.906,38.940,136.047
0.764,0.564,0.552,146.240,46.875,131.653
0.793,0.506,0.482,162.964,48.645,133.484
0.833,0.446,0.492,169.189,44.006,134.338
